Timestamp,What is Your age group ?,Whta is Your highest level of education ?,Which city / town do you currently reside in ?,Do you believe that sports is important for the overall developement of a child ?,How many hours per week does your child spend in physical / sports actively ?,I encourage my child to participate in competitive sports. ,I would support my child if they wanted to pursue sports as a full-time career. ,A career in sports lacks job security. ,Sports can be as respectable and successful a career as medicine/engineering. ,Is your child enrolled in any coaching academy or private training for sports ?,I am aware of sports scholarships for young athletes in India. ,I believe that schools provide enough support for children in sports. ,Sports careers come with high injury risks.  ,A sports career can affect my child's education negatively.  ,Financial stability is a major concern in sports careers.  ,What is Your Gender,Email address,Column 17,Column 14
18/08/2025 13:48:15,Below 30,Schooling,Swapnonil Sengupta ,Strongly Agree,2 - 5 hours,Agree,Agree,Agree,Agree,No,Agree,Agree,Agree,Agree,Agree,Male,,,
18/08/2025 13:48:17,Below 30,Schooling,Rishra ,Strongly Agree,Less than 2 hours,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Male,,,
18/08/2025 13:48:20,Below 30,Undergraduate,Hooghly ,Strongly Agree,Less than 2 hours,Strongly Agree,Agree,Disagree,Strongly Agree,No,Disagree,Disagree,Disagree,Disagree,Agree,Female,,,
18/08/2025 13:48:22,Below 30,Schooling,Howrah ,Neutral,Less than 2 hours,Neutral,Neutral,Neutral,Neutral,Planning to,Agree,Neutral,Neutral,Neutral,Neutral,Male,,,
18/08/2025 13:48:24,Below 30,Undergraduate,Hindmotor ,Strongly Disagree,Less than 2 hours,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Male,,,
18/08/2025 13:48:27,Below 30,Undergraduate,Bhadreswar ,Neutral,Less than 2 hours,Neutral,Agree,Neutral,Neutral,No,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Male,,,
18/08/2025 13:48:29,Below 30,Undergraduate,Rishra,Strongly Agree,2 - 5 hours,Agree,Agree,Neutral,Strongly Agree,No,Agree,Neutral,Neutral,Disagree,Agree,Male,,,
18/08/2025 13:48:32,Below 30,Undergraduate,Bhadreswar,Agree,2 - 5 hours,Agree,Agree,Disagree,Neutral,No,Agree,Neutral,Agree,Disagree,Disagree,Female,,,
18/08/2025 13:48:35,Below 30,Undergraduate,Baidyabati ,Agree,Less than 2 hours,Agree,Agree,Neutral,Agree,No,Disagree,Neutral,Neutral,Disagree,Agree,Female,,,
18/08/2025 13:48:37,Above 50,Doctorate / Professional Degree,Serampore,Strongly Disagree,Less than 2 hours,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,No,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Male,,,
18/08/2025 13:48:39,Below 30,Undergraduate,"Rameswarpur, Hooghly ",Agree,Less than 2 hours,Agree,Agree,Agree,Agree,No,Neutral,Agree,Agree,Disagree,Agree,Female,,,
18/08/2025 13:48:42,Below 30,Undergraduate,Naihati ,Agree,Less than 2 hours,Agree,Agree,Agree,Strongly Agree,No,Neutral,Agree,Agree,Disagree,Agree,Female,,,
18/08/2025 13:48:44,Below 30,Undergraduate,Memari ,Strongly Disagree,6 - 10 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Planning to,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Male,,,
18/08/2025 13:48:47,Below 30,Undergraduate,Naihati,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Agree,Agree,Agree,Planning to,Agree,Agree,Neutral,Neutral,Neutral,Male,,,
18/08/2025 13:48:49,Below 30,Undergraduate,Bhadreswar ,Strongly Agree,Less than 2 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Female,,,
18/08/2025 13:48:51,Below 30,Undergraduate,Chandannagar ,Agree,Less than 2 hours,Agree,Agree,Neutral,Agree,Planning to,Neutral,Disagree,Neutral,Disagree,Neutral,Male,,,
18/08/2025 13:48:54,Below 30,Undergraduate,Purba Barddhaman ,Strongly Agree,2 - 5 hours,Strongly Agree,Agree,Agree,Strongly Agree,Planning to,Agree,Neutral,Agree,Neutral,Agree,Male,,,
18/08/2025 13:48:56,31 - 40,Postgraduate,Bhadreswar ,Agree,6 - 10 hours,Agree,Agree,Neutral,Agree,Yes,Agree,Neutral,Neutral,Neutral,Agree,Male,,,
18/08/2025 13:48:59,Below 30,Undergraduate,Chuchura,Strongly Agree,Less than 2 hours,Agree,Agree,Agree,Agree,No,Disagree,Neutral,Neutral,Disagree,Agree,Male,,,
18/08/2025 13:49:01,31 - 40,Postgraduate,Hindmotor,Agree,6 - 10 hours,Strongly Agree,Agree,Disagree,Agree,Yes,Agree,Agree,Disagree,Disagree,Neutral,Male,,,
18/08/2025 13:49:04,Below 30,Undergraduate,Haripal,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Agree,Agree,Agree,No,Neutral,Agree,Agree,Neutral,Agree,Male,,,
18/08/2025 13:49:06,31 - 40,Postgraduate,Rishra,Agree,2 - 5 hours,Agree,Agree,Disagree,Agree,Planning to,Agree,Agree,Disagree,Disagree,Neutral,Male,,,
18/08/2025 13:49:09,31 - 40,Doctorate / Professional Degree,Konnagar,Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,No,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Female,,,
18/08/2025 13:49:11,Below 30,Undergraduate,Konnagar ,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Planning to,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Male,,,
18/08/2025 13:49:14,Above 50,Schooling,"Sonagachi, Sovabazar, Kolkata ",Neutral,More than 10 hours,Neutral,Neutral,Neutral,Neutral,Planning to,Neutral,Neutral,Neutral,Neutral,Neutral,Female,,,
18/08/2025 13:49:16,Below 30,Undergraduate,Nadia,Strongly Agree,6 - 10 hours,Strongly Agree,Neutral,Neutral,Strongly Agree,No,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Male,,,
18/08/2025 13:49:19,Below 30,Undergraduate,Pune ,Strongly Agree,More than 10 hours,Strongly Agree,Agree,Agree,Neutral,No,Strongly Agree,Neutral,Neutral,Disagree,Agree,Male,,,
18/08/2025 13:49:21,Below 30,Postgraduate,Chandannagar ,Agree,2 - 5 hours,Agree,Strongly Agree,Disagree,Strongly Agree,Yes,Agree,Disagree,Neutral,Disagree,Disagree,Male,,,
18/08/2025 13:49:24,Below 30,Postgraduate,Kolkata ,Agree,Less than 2 hours,Agree,Agree,Disagree,Agree,No,Neutral,Agree,Agree,Agree,Agree,Male,,,
18/08/2025 13:49:26,Below 30,Postgraduate,New Town,Strongly Agree,Less than 2 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Planning to,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Male,,,
18/08/2025 13:49:29,Below 30,Postgraduate,Mumbai ,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Agree,Neutral,Agree,No,Neutral,Strongly Disagree,Agree,Disagree,Agree,Male,,,
18/08/2025 13:49:31,Below 30,Postgraduate,Kalna ,Agree,More than 10 hours,Agree,Agree,Agree,Agree,Yes,Agree,Agree,Agree,Agree,Agree,Male,,,
18/08/2025 13:49:34,Below 30,Postgraduate,Naihati,Strongly Agree,Less than 2 hours,Strongly Agree,Neutral,Agree,Agree,No,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Male,,,
18/08/2025 13:49:37,Below 30,Undergraduate,Kolkata,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Planning to,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Male,,,
18/08/2025 13:49:39,Below 30,Postgraduate,Ambika Kalna ,Agree,6 - 10 hours,Agree,Agree,Disagree,Agree,Yes,Agree,Agree,Neutral,Disagree,Neutral,Female,,,
18/08/2025 13:49:42,31 - 40,Postgraduate,Chinsurah,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Yes,Agree,Strongly Agree,Agree,Disagree,Disagree,Male,,,
18/08/2025 13:49:44,Below 30,Postgraduate,Chandannagar ,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Planning to,Neutral,Neutral,Agree,Disagree,Strongly Agree,Female,,,
18/08/2025 13:49:47,Below 30,Undergraduate,Chandannagore ,Neutral,6 - 10 hours,Neutral,Agree,Disagree,Agree,Yes,Disagree,Agree,Disagree,Disagree,Neutral,Male,,,
18/08/2025 13:49:49,Below 30,Schooling,Chandannagar,Agree,More than 10 hours,Strongly Agree,Agree,Neutral,Agree,Yes,Strongly Agree,Neutral,Agree,Neutral,Agree,Male,,,
18/08/2025 13:49:52,Below 30,Undergraduate,Bally ,Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Female,,,
18/08/2025 13:49:54,Below 30,Undergraduate,City - Sheoraphully ,Agree,2 - 5 hours,Agree,Agree,Disagree,Agree,No,Strongly Agree,Disagree,Neutral,Disagree,Agree,Male,,,
18/08/2025 13:49:57,Below 30,Schooling,Bandel,Strongly Agree,Less than 2 hours,Strongly Agree,Strongly Agree,Disagree,Agree,No,Neutral,Disagree,Agree,Disagree,Strongly Agree,Female,,,
18/08/2025 13:49:59,Below 30,Schooling,Kolkata,Agree,Less than 2 hours,Agree,Strongly Disagree,Neutral,Neutral,No,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Male,,,
